[Info]

Chopper_Name=A2M12K  2 ZP1.19
Chopper_Node=8
Chopper_Hour=4
User_Comment=Original Config on the proto inverter
Program_Version=ZAPI PC Can Console 0.67
Save_Date=Wed Aug 29 11:00:20 2018


[Code;Name;Position;Menu;Value;Scaled Value;CodeOpenCan;Node;NotSaved;NameMenu]
250;KP GAIN IQSP RES;37;24;1;LEVEL = 1;20786;8;0;HARDWARE SETTING;
250;KI GAIN IQSP SM ;38;24;25;25    ;20763;8;0;HARDWARE SETTING;
250;KI GAIN IQSP LA ;39;24;10;10    ;20764;8;0;HARDWARE SETTING;
250;KI GAIN IQSP RIL;40;24;30;30    ;20765;8;0;HARDWARE SETTING;
250;KI GAIN IQSP STO;41;24;25;25    ;20766;8;0;HARDWARE SETTING;
250;KI GAIN IQSP ROL;42;24;25;25    ;20767;8;0;HARDWARE SETTING;
250;KI G.IQ.CTB HSPD;43;24;0;0 %;20787;8;0;HARDWARE SETTING;
250;KI GAIN COMPENS.;44;24;0;0    ;20809;8;0;HARDWARE SETTING;
250;KP GAIN VQSP  ;45;24;54;108    ;20751;8;0;HARDWARE SETTING;
250;KI GAIN VQSP  ;46;24;57;114    ;20752;8;0;HARDWARE SETTING;
250;KP GAIN VDSP  ;47;24;54;108    ;20753;8;0;HARDWARE SETTING;
250;KI GAIN VDSP  ;48;24;57;114    ;20754;8;0;HARDWARE SETTING;
250;KP GAIN WEAK  ;49;24;100;100    ;20755;8;0;HARDWARE SETTING;
250;KI GAIN WEAK  ;50;24;100;100    ;20756;8;0;HARDWARE SETTING;
250;FREQMAX FOR IMAX;51;24;62;62 Hz;8394;8;0;HARDWARE SETTING;
250;IQMAX1     ;52;24;14;56 A;8395;8;0;HARDWARE SETTING;
250;FREQ1 FOR IQMAX1;53;24;72;72 Hz;8396;8;0;HARDWARE SETTING;
250;IQMAX2     ;54;24;13;52 A;8397;8;0;HARDWARE SETTING;
250;FREQ2 FOR IQMAX2;55;24;81;81 Hz;8398;8;0;HARDWARE SETTING;
250;IQMAX3     ;56;24;13;52 A;8399;8;0;HARDWARE SETTING;
250;FREQ3 FOR IQMAX3;57;24;90;90 Hz;8400;8;0;HARDWARE SETTING;
250;FREQ IMAX BRK  ;58;24;62;62 Hz;8304;8;0;HARDWARE SETTING;
250;IQMAX1 BRK   ;59;24;14;56 A;8305;8;0;HARDWARE SETTING;
250;FREQ1 IQ1 BRK  ;60;24;72;72 Hz;8306;8;0;HARDWARE SETTING;
250;IQMAX2 BRK   ;61;24;13;52 A;8307;8;0;HARDWARE SETTING;
250;FREQ2 IQ2 BRK  ;62;24;81;81 Hz;8308;8;0;HARDWARE SETTING;
250;IQMAX3 BRK   ;63;24;13;52 A;8309;8;0;HARDWARE SETTING;
250;FREQ3 IQ3 BRK  ;64;24;90;90 Hz;8310;8;0;HARDWARE SETTING;
250;OVERMODULATION ;65;24;100;100 %;8430;8;0;HARDWARE SETTING;
250;ROTATION CW ENC ;66;24;1;OPTION #2    ;20713;8;0;HARDWARE SETTING;
250;ROTATION CW MOT ;67;24;0;OPTION #1    ;20675;8;0;HARDWARE SETTING;
250;ENCODER PULSES 1;68;24;1;48    ;20702;8;0;HARDWARE SETTING;
250;ENCODER PULSES 2;69;24;1;48    ;20703;8;0;HARDWARE SETTING;
250;MOTOR P. PAIRS 1;70;24;2;2    ;20704;8;0;HARDWARE SETTING;
250;MOTOR P. PAIRS 2;71;24;2;2    ;20705;8;0;HARDWARE SETTING;


[End]

[Table]

[TableEnd]

[Validation]
Code=E7DB

[ParChk]
ParChecksum=8E883DDA

[DeviceSNum]
DeviceSerNumber=0

[DEFAULT]
Par4
0x1300 ,
0x1000 ,
0x1212 ,
0x5020 ,
0x0100 ,
0x1052 ,
0x1110 ,
0x0003 ,
Par2
0x1414 ,
0x0A0A ,
0x1C5A ,
0x0464 ,
0x6464 ,
0x1228 ,
0x0A05 ,
0x8C0F ,
0x0C0C ,
0x0A64 ,
0x640A ,
0x640B ,
0x640B ,
0x141E ,
0x0A05 ,
0x0A0A ,
0xF910 ,
0x2832 ,
0x4B50 ,
0xF500 ,
0x000A ,
0x050A ,
0x4564 ,
0xEF05 ,
0xFF00 ,
0xFF00 ,
0x251C ,
0x325A ,
0x251C ,
0x252D ,
0x1428 ,
0x0000 ,
0xEF05 ,
0x5A85 ,
0x0012 ,
0x0002 ,
0x0A00 ,
0x0A05 ,
0x0064 ,
0x60AA ,
0x1010 ,
0x00FF ,
0x9664 ,
0xF910 ,
0xFFFF ,
0x1010 ,
0xFFFF ,
0x0A10 ,
0x0564 ,
0x6403 ,
0x3264 ,
0x0A32 ,
0x040A ,
0xF910 ,
0x8000 ,
0x00FF ,
0x5A5A ,
0x0001 ,
0x640A ,
0x5514 ,
0x5017 ,
0x0003 ,
0x0004 ,
0x0501 ,
0x0019 ,
0x3212 ,
0x1E0A ,
0x1919 ,
0x818C ,
0x4B3A ,
0x4D08 ,
0x0000 ,
0x0000 ,
0x0000 ,
0x00FF ,
0x0000 ,
0x0000 ,
0x0000 ,
0x0000 ,
0x0000 ,
0x0101 ,
0x0202 ,
0x3030 ,
0x1491 ,
0x2148 ,
0x1800 ,
0xB136 ,
0x3936 ,
0x3936 ,
0x6464 ,
0x0000 ,
0x0A00 ,
0x0032 ,
0x0100 ,
0x0000 ,
0x02FE ,
0x0000 ,
0x0000 ,
0x480E ,
0x510D ,
0x5A0D ,
0x3E3E ,
0x480E ,
0x510D ,
0x5A0D ,

[Stop]

